pktnum,Ai,ETp,Fs1,GQ,MET,Pmax,Pr,Pv,Qdot,Qsgf,R10,R90,dF,dP,dt,ser,zone
1398,48.57976,0.21883164605561944,1.6950189778130569,10.861116471050217,0.6344743423116199,19.922168031208844,79.27846,8.586819318881334,18.85687994612356,377.96035706913085,0.20255823499253625,0.18564827544336773,0.5228794542757718,4.499407454900631,0.014198069627143428,2.4467196124,5.0
1399,48.34526,0.15300937184963814,1.7367064790227815,10.819757956153689,0.7821334926356975,19.77949513750626,79.69551,8.096840846130622,18.681413924108856,375.14094079156274,0.19935256216237632,0.18579951643036025,0.5096017821396548,4.28330977601156,0.012595066879039662,2.3947824541,6.0
1593,52.38806,-0.007410265985328124,1.6159348747368585,10.406794852207561,0.7595374516101678,18.086940256542626,73.23541,4.457582876266093,17.32622079910635,351.90479662471665,0.18561726821911628,0.18860827198129235,0.5065955832300051,2.456529347281481,0.0018371247376519628,2.4266149392,0.0
1594,52.13243,-0.10981882091329707,2.405050687490978,10.706015014698897,0.5801307947279142,19.777230813212988,73.77646999999997,9.444217646446775,18.830404975177096,386.1063375200919,0.19132211574811656,0.18251953911168026,0.5451528393335798,4.673754428873582,0.01790649216731921,2.474074796725,1.0
1595,52.10666,-0.09335326544028888,2.046180993233662,10.812716306657236,0.596038251391338,19.928277961327893,73.89577,9.156532691184843,19.0226543708399,388.04049386345673,0.19832571103232088,0.18306471261314272,0.5367132745251895,4.756635602416703,0.01796986627242081,2.5626055388,2.0
1596,51.54172,-0.05243372178513184,1.9514947823702469,10.827345071654888,0.5425266301329614,19.961248265757565,74.6769,9.043549690323603,18.93296156098527,381.7897053071088,0.20067681378460586,0.1839657206428124,0.535412108491101,4.6751534479096915,0.016247189157079792,2.5689681791,3.0
1597,49.93218,-0.14917377576445998,1.7880326812030845,10.834875738718358,0.5176648273780806,20.7870757999962,77.39005999999998,9.192930243015503,18.733994763870086,370.8552308992945,0.20867638157279908,0.18756987849852413,0.5246624296454212,5.116968831867291,0.012999395696343341,2.5992196298999994,4.0
1598,49.111999999999995,-0.05263840594342284,1.5792981932082155,10.81348469056578,0.7680260098305709,20.52099377354748,78.58057,8.894803677852329,18.57278199949043,374.4353713027643,0.19811890096331586,0.1876629920403504,0.5196838634570957,4.826053631492338,0.011060186808523387,2.4141003600000004,5.0
1599,47.5712,-0.04057807564465321,1.62967360664029,10.817880133480632,0.7005541066614995,20.47119069038728,81.17401,8.620129867633885,18.76783829334246,371.4173883143644,0.21165173325907044,0.1869215309207478,0.5244615600889779,4.863046264825655,0.01387920654060937,2.5212736,6.0
1793,55.08308,-0.20963887476488446,1.1551771336422152,10.497489391277066,0.6474410884141193,18.428115881241613,69.69005,4.572082327905151,17.494506243587047,353.65015636893656,0.1823266748311334,0.1865754863916888,0.5030565381585119,2.4897731524840285,0.0021938948911905953,2.5013226628000003,0.0
1794,55.04391,-0.1458144124834675,1.613098926173361,10.600663885791024,0.622911870110741,18.819719657728825,69.91615,8.718903494796853,18.040395884010447,375.2943516963356,0.1885026946701676,0.18510748397906368,0.5332259810358662,3.4001979849008763,0.008372759595552837,2.588302257975,1.0
