pktnum,Ai,ETp,Fs1,GQ,MET,Pmax,Pr,Pv,Qdot,Qsgf,R10,R90,dF,dP,dt,ser,zone
3255,55.11703000000001,-0.16535867457461606,1.2874533675905115,9.940631161824461,0.2719236103588969,18.93305077778572,69.82271999999999,8.09355923077046,17.28827592894257,337.631866528425,0.19886796847692875,0.18047308729188,0.5027762891114467,4.5212240574929945,0.014529963790199885,2.7405565241750005,3.0
3256,54.79485,-0.1667861058438227,1.3636795991097994,9.931873863997248,0.2543519716667397,18.7082361913946,70.31283,8.257890872582689,17.21751601300803,339.784850514035,0.19164386472393602,0.1795980285967054,0.4914837643151628,4.360248959632386,0.0136077317835388,2.60960473125,3.0
3257,54.53461,-0.1024208750071942,1.3280180789792986,9.817299299054866,0.2515116075738497,18.62265802962039,70.58794,7.830939200525777,16.999700345258233,333.84425289239243,0.19562306651511369,0.18113904341984746,0.5013002644531057,4.339123411011334,0.01328208476696191,2.66756044815,3.0
3258,54.79002,-0.12722356217809505,1.0667412243257424,9.657996746332136,0.2363471693033432,18.096092124959707,70.06518,6.840743808599539,16.70486754357572,326.0117960743982,0.1948543189069705,0.18139124053481595,0.4744118246943874,3.7355933790000373,0.012933974695851669,2.6723832255,3.0
3271,53.92145,-0.163240086321931,1.4961961398090855,9.935219147097564,0.1903905296665762,18.358679456399127,71.40991,6.66583513194359,16.939856771615414,337.6378145711795,0.18871644701705825,0.17932274731529158,0.4971710152971611,3.579753440907666,0.008796494084468255,2.537139026125,3.0
3272,53.72042,-0.17820201102172462,1.54246370300051,10.081197055384797,0.24312905455985145,18.534324957948545,71.99082,7.059522716522415,17.259042944345588,348.4798309423951,0.185811105108924,0.17880456581478402,0.4908736488428822,3.7522069190588283,0.009990767840289516,2.4773171682999995,3.0
3273,53.57324000000001,-0.2409498731182431,1.6399964822876016,10.435353553417805,0.2414608954733524,17.857153300494286,72.19452,8.312457208005736,17.051980394297498,349.04206534334554,0.17794901675249508,0.16904169578509073,0.5317852593465777,1.301647674201618,-0.003818830222921843,2.3837413138000003,3.0
3274,53.5587,-0.17717888560729378,1.6576276781471897,10.502032727772383,0.2488550963656309,18.691005938825555,72.01325,5.91587953112422,17.858780220646587,359.27971248989695,0.19439969103209212,0.16921485434208705,0.5183567512334077,3.0790378195642223,0.00810627533371977,2.59157159625,3.0
3287,59.12322,-0.1140482974191741,1.594971104229063,9.592936310514506,0.43369527625542403,17.981812722001973,65.09843000000001,6.424037254242747,16.509572241825836,326.6418714834946,0.1831407513482156,0.1812492270496064,0.4811868324348661,3.462813041527012,0.011506217587598956,2.69409732735,3.0
3288,58.12851,-0.1272158065908009,1.6699909566029778,9.697984224593018,0.5428897308138225,16.980480229316512,66.2623,4.553927310395721,16.480803907503343,336.1242664548083,0.17337070924099765,0.18275525821594704,0.4920628353630674,2.4067050442710363,0.007805749501557545,2.50504813845,3.0
3289,57.13505,-0.1150983920551134,1.2279255621399734,9.81702871243406,0.5394348059560912,17.898090593950293,67.39497,6.2512569055434914,16.799287188541058,338.08615696539994,0.18071150812032505,0.1825079772465873,0.49739580745603895,3.2818473628412783,0.009840439209118923,2.562935505375,3.0
3290,56.53097,-0.05372645371486938,1.4835699314180624,9.851286704816095,0.4948803832008082,18.986776370941527,68.01594,7.828322101699783,16.994859884811238,331.5922129486628,0.19675890605681345,0.18077214362999466,0.5183148269395286,4.322016632348452,0.012219933481775636,2.775246644725,3.0
