pktnum,Ai,ETp,Fs1,GQ,MET,Pmax,Pr,Pv,Qdot,Qsgf,R10,R90,dF,dP,dt,ser
1007,0.5829895465138241,0.03476579307994913,0.7142686342002714,0.8093257814397098,0.3727649762499328,0.6810092846626403,0.30318301085276506,0.3199543765199997,0.788066558745258,0.8035544133481469,0.6216128835095664,0.9767251768843291,0.4501842796534173,0.30617479207031834,0.21689617921454232,0.5219342522260119
1008,0.5718153506199523,0.07591482333253223,0.6383043784011847,0.8136984914795732,0.38709602278613364,0.6791352559335576,0.308829180423299,0.3151102500932849,0.7953633182651797,0.8125278155131315,0.637519569447234,0.9768302785318786,0.4432052343389338,0.3024057650128586,0.24343423797813993,0.5271783526403049
1009,0.56303902341348,0.011101000245729142,0.7411441175692048,0.8165322864468317,0.3638389469078935,0.6955517309747437,0.31376292346714935,0.3573689958158575,0.8026171616140673,0.818861897104527,0.6418536143129441,0.9732271000832788,0.4425026957739562,0.34394341694037733,0.28279659258444223,0.521539502396653
1010,0.5560105770364132,0.06031860731481096,0.8424616376482198,0.8128575748236256,0.40648357076107816,0.684672196455584,0.317970574802352,0.33322773590870025,0.7969466771811128,0.8160609525397975,0.6331409569239592,0.9703090843198987,0.44200268787407176,0.32101250058830455,0.26486455483346355,0.5081405153292919
1023,0.49168450097775096,0.0,0.6151048400416067,0.9805109479118383,0.19390829154771042,0.8035940270718289,0.3600476360508256,0.3586046316952768,0.9598246150204612,0.9792302803647132,0.5281443758200992,0.8050320758821345,0.44373436140186473,0.33071374081188587,0.27913958114159476,0.3762531138967251
1024,0.4858870125978638,0.0,0.6666573877736038,0.8132420411764485,0.1828545316852422,0.6962960569457498,0.36400522100192795,0.3346818822853731,0.8043710671159474,0.8003352834096674,0.6987857459532391,0.969826717548579,0.44233801701602077,0.34168464083047806,0.32584916724331914,0.49668049786719215
1025,0.48440668193766534,0.0,0.593734679045897,0.8155001908873633,0.21369214631005365,0.7077149362665363,0.3650336870907315,0.3647316356262027,0.8050624146829625,0.8032275503974848,0.6941818419292558,0.9750286506413932,0.4397310223876311,0.3683647383811929,0.31251264113966354,0.4907130750537472
1026,0.4869475564745294,0.0,0.6360714875748856,0.8531459864313794,0.1952349812485193,0.7345948699640604,0.36325563420447904,0.3639966402229056,0.840235556296799,0.8378084006138369,0.6624751328918387,0.9312385384644928,0.43983509391134673,0.3649577705873359,0.30294900057045704,0.4710169999581895
1039,0.5637590230726518,0.10735180185650309,0.6588936846693261,0.8134135209752226,0.3319969788904408,0.6857004274887265,0.3130703501293568,0.3078070012861972,0.7992732675388786,0.8061167518020254,0.6623301740623572,0.9870334850194638,0.4504441964585157,0.3015851676658512,0.28026051911679195,0.5428327691674537
1040,0.5539866253317749,0.024185273126104193,0.6357574570290908,0.8115059267549889,0.3469828205317346,0.6635542508421306,0.31901238378109203,0.2895936335294032,0.7911684435641474,0.8107087465297106,0.6305566622444034,0.9886356691579374,0.4384003758584741,0.24747878563331446,0.2252096525835585,0.5077653983399009
1041,0.5441398134249403,0.09684875287374663,0.7622017312919359,0.8219096263455012,0.37397710308032583,0.7002932560163146,0.3249017226863389,0.3378422055601811,0.8140729112990376,0.820219590188809,0.6821750456901152,0.9844709778076882,0.43514360098744687,0.3421302927014465,0.3354160740943566,0.5403742408981932
1042,0.5402437205946885,0.05933672405314867,0.7785783096155015,0.8171157845970276,0.4107649580049878,0.6707249203320619,0.32725355206906487,0.3017210874838839,0.8011433325124352,0.819157924326112,0.6412886906800902,0.9857507614222962,0.4472911469612157,0.26804573064976633,0.26493449206242614,0.5033003589700402
1055,0.48796365066809433,0.0,0.6134395119578576,0.8183018348327947,0.1753575799351384,0.6694718223396507,0.36220473659056485,0.28664265495052593,0.7994607109795409,0.8093842549346622,0.6505828965470771,0.9917732798317567,0.45066977063735486,0.25543319226434036,0.2398022339657409,0.4619161012009765
1056,0.48436564053697484,0.0,0.6175960697734445,0.8218226091549464,0.1994387011328324,0.7058912349752169,0.36446771006132217,0.32612056147711227,0.8067550153896356,0.8041366156415348,0.6943107416012774,1.0,0.43541211440022737,0.3284782455450443,0.27317744435283153,0.49048396962830243
1057,0.4836091438536597,0.0,0.6260115226634898,0.8149233157712494,0.17731533672292688,0.6979283335471329,0.36483102986386934,0.31511157989133837,0.7986144637686139,0.797283337293523,0.6848955553395241,0.9994963002901394,0.4346549158296315,0.30931592312457123,0.26115133977815275,0.48225184873864474
1058,0.48872043137494364,0.0,0.5718263078339569,0.9698570119410928,0.1619340483450293,0.8204649440758401,0.36087144670219684,0.3555864735139667,0.9479508891973353,0.9459525952765431,0.5617168092788591,0.8260473594228094,0.42743963690323195,0.34547200231119857,0.267223684410622,0.39891408435207115
1071,0.47100858177108557,0.09660048675946309,0.6797642605756518,0.8186076149049026,0.26762516309392026,0.6831767278217856,0.37474466816990115,0.3086006447176342,0.8062180963309387,0.8076771916048622,0.6726732625644765,0.9813573973945525,0.4195491661249875,0.2970015674204568,0.2961193460876941,0.4605687352677903
1072,0.46511466740134083,0.05015856138755274,0.7166249646700474,0.8196315898066582,0.25503253500192613,0.6771326196539031,0.37963783464749523,0.31865932953143233,0.807568960554665,0.8148079112000146,0.6624389927981122,0.9800889039940418,0.43292962927166967,0.294455518782341,0.2990564898984007,0.4478725173597386
1073,0.4635398989160241,0.07528316411187107,0.6456641588778989,0.8269741366619873,0.25774319775301646,0.7094851290735954,0.38138759029373726,0.35117174470536133,0.8222548772759177,0.8227822436231238,0.6954516875698704,0.9804109636106118,0.42990473247642913,0.3549895239891342,0.3617029689262477,0.4701354650336001
1074,0.4655718032796197,0.08568206753162197,0.8076615866473089,0.8253825302756184,0.2644757494944879,0.6827541166514534,0.37980868165124776,0.318977321571108,0.8180688993819637,0.8275006428072826,0.6683329992616024,0.9781547032295285,0.44192420694421697,0.3069998433855884,0.33998009921524497,0.45185017960116974
1087,0.46258444374700886,0.0,0.7041056865620321,0.8218345371399493,0.22991240558733816,0.6976940629232676,0.38194202926856374,0.32821128792112153,0.8098253968146124,0.8073055502880596,0.6865402630705442,0.9879798912399743,0.4278636065611858,0.3236748788536319,0.29967199316585486,0.4622935758696967
1088,0.46041890631057686,0.0,0.5010040986019743,0.8206441558833966,0.22897145601501298,0.6787832449044465,0.3829410378660581,0.29445207446519384,0.8058501960168276,0.8078913166217626,0.6700109837685848,0.9888799431811333,0.42335154536890934,0.2801568267956704,0.2755899731596879,0.4486763002609541
1089,0.46378557927309855,0.0,0.5577863156934505,0.8204631983907318,0.23217489495498814,0.701465513806922,0.3796960405876531,0.32271012341538147,0.806377622870461,0.8022545790517108,0.6845686893847596,0.9973323279057917,0.42434333262435436,0.3155993820865289,0.28166678209381857,0.46158611176382275
1090,0.4678571986474798,0.0,0.5674296290519409,0.8115876538063178,0.2232398255458109,0.6886797058288741,0.375995999195688,0.31411898825593254,0.7945872791798263,0.7970708139951913,0.6651934734181458,0.995288287600813,0.44985856038561667,0.30116273833060037,0.25474490553301554,0.45141907198366515
1103,0.538809685770563,0.05081423037187932,0.7989619293541137,0.8246259761256356,0.3782527888769965,0.710546866851174,0.32821443351971163,0.3657958133976113,0.8190567499397785,0.8236809263626033,0.6867476953108697,0.9790903667295385,0.4518797614844497,0.36207883659978435,0.35781741245085497,0.5383144318889334
1104,0.5304890743246985,0.03821184468942428,0.7483497453307063,0.8259373347010985,0.3735688205464291,0.717404215802984,0.33286652556077123,0.3858656904252208,0.8214254956044539,0.8280492177147663,0.6836388219357687,0.9793024486131466,0.44776030845658776,0.3847765477290795,0.3647535331415419,0.5271517221221509
1105,0.5283640102418886,0.00825354077856048,0.8436816720740633,0.8242819568985389,0.34974454228473156,0.7108615850336849,0.33469649969264625,0.37085088005718264,0.8168419147846027,0.8241365003644225,0.6769478394840347,0.9830991368457507,0.45114057045424694,0.3623484716004686,0.3417033664400454,0.518468396602629
1106,0.5215289838916052,0.0,0.6343143374945251,0.8195786154422966,0.25797051508766544,0.6916535145498531,0.3394650036140216,0.3413516377355529,0.8065157082946286,0.8186243086492682,0.6520403454716915,0.9847461194153665,0.44307433728701207,0.3213544017193226,0.2934497132198213,0.492049129085536
1119,0.43622734379770706,0.013960073469443453,0.7625072437158006,0.8189962567802984,0.20722119583591292,0.7118496468612701,0.40602172357844324,0.3738936934539428,0.8141455478482481,0.8141999915590757,0.6786036370426873,0.9765274969034401,0.43263176111958707,0.36702370152665587,0.36081012526613215,0.4292184716007516
1120,0.4313508017274311,0.0,0.7170554140671063,0.8214303627647931,0.19738395503443684,0.7143416435889314,0.41025051727064676,0.36880158032012234,0.8149624183409494,0.8121756911047484,0.6937613102849347,0.9820094213514353,0.42988365876979523,0.3667397730367651,0.3481667903485911,0.4350250472716091
