pktnum,ETS,ETp,Fs1,Fs2,GQ,Isoll,MET,Pmax,Pv,Qdot,Qsgf,R10,R90,dF,dP,dR,dt,ser
31,0.003842620008335018,0.09584835380622536,0.514075026152068,0.3594675616200982,6.178662161930798,5.6,0.10085507368773605,10.662421468725174,2.6773566245512046,9.9642797294368,210.74583990376746,0.29696115479884555,0.2716304127984231,0.10442920081253115,0.4810406647331149,0.0,-0.008284396749852263,2.163626584295751
32,0.03000674558790095,0.11361152852455092,0.5138212979118165,0.6334947688900712,6.230211587960234,5.6,0.09630240060585038,10.781981688673913,5.194929239827705,10.018851506847204,205.0859381518502,0.28779671532850687,0.26826101737507235,0.13248882166656184,0.5579354003574952,0.0,-0.008993145851518669,2.1475212531500363
33,0.0079767467305345,0.11447386649836133,0.5084636985285245,0.6180412109731885,6.093934568780237,5.6,0.10648699200723044,10.600118626385983,15.998510733704453,9.735789633025771,211.43059735593116,0.2843102879167503,0.2752869862581293,0.10839429125231081,0.40140263430864564,0.0,-0.011214385444402897,2.2043040516996446
34,0.0092987811378471,0.13231547071560357,0.5009269283067722,0.3205380394114026,6.283045096683418,6.0,0.12797575791676508,10.782312630662602,1.3950399442981343,10.38708831685086,209.57629744988776,0.2719751649298403,0.2746538914790314,0.11005865541828097,0.7911829540092441,0.0,-0.0007879177485514699,2.2103891361040104
35,0.010041254043368752,0.12684873142641706,0.976928123799006,0.4233249732440561,6.233494008544354,6.0,0.12196688564530689,10.666366904522722,1.2904966471235841,10.315891366600091,201.66181768214813,0.2672396316737809,0.2753349337253676,0.12932574502851235,0.7273497202517945,0.0,-0.00029786570555434544,2.2124318201418034
36,0.02026055698625484,0.13604726869460038,0.639888703849416,0.3127689904256829,6.705448969996544,6.0,0.11578028410707475,11.306591377470998,3.394143639209426,11.057081658283582,224.12801627917264,0.24666418653930186,0.25608346320935127,0.13547723637899844,0.6319895456207956,0.0,-0.001422792266834394,2.063124748056452
37,0.015224418351831304,0.15682418781289797,0.754994606877083,0.38592155744660367,6.264826826559489,6.4,0.14159101623460657,11.2814986871432,2.287814753092128,10.425775907274783,197.48425101755464,0.25895108099614017,0.2750852470092401,0.10686948660345097,1.3009429811983075,0.0,0.0012723277707669123,2.229393469307139
38,0.026417713395652243,0.16153169932371014,0.680302995555496,0.2416891848802084,6.305125046430493,6.4,0.14093164314989437,10.732939273366485,1.9893924017395224,10.473241726416568,198.01136483902636,0.24627681097684137,0.2771041137149068,0.10790966115501277,0.7158828557659671,0.0,0.0006402342868156996,2.2487856512120747
39,-0.009751823871731347,0.11037849701521907,0.7010462930876559,0.39996144389399335,6.343077659753041,6.4,0.12187732134252727,10.764554884226053,2.093169686386722,10.520444192942405,204.664937305277,0.2426649623174453,0.2756744633934021,0.12949727125915178,0.755320281332649,0.0,7.678357155871396e-06,2.204852708710864
40,-0.038260974773059786,0.0864623439963097,1.0191628870435476,0.3490854700888716,7.814969336538816,6.8,0.12470840813482198,13.40798725007348,3.249467102837612,12.740187023688744,257.6799793951411,0.24193293816879058,0.2265643928907837,0.14683079713636404,0.8333583331937344,0.0,-0.004988720777535205,1.7999074464477733
41,-0.07510081952944248,0.09088437658580162,0.5990271061861983,0.29229795477956044,7.795805091556393,6.8,0.16662456787189228,13.55522131765756,3.367992153727325,12.624607080129676,244.92833224876173,0.23988666846253598,0.22455562397422024,0.1431195562100065,1.0074674929444551,0.0,-0.006608242921843921,1.7861655499159792
42,-0.06163898377108268,0.16513709094105877,0.9638780383286276,0.37701593321063837,8.09819874954706,6.8,0.22707866252007847,14.30075533463335,4.414137210270826,12.994148787666685,274.4857293843893,0.22492983626280225,0.21672365388427026,0.16288574969715475,1.2383420529693776,0.0,-0.00964279143577862,1.7605991402171164
43,-0.062187643284406846,0.15433369053658552,0.7617906428138255,0.14886668306808792,8.013526119447954,6.8,0.21678445293168025,13.959431443215227,4.62714613032712,13.105840229404222,258.4965281920346,0.25159357838560936,0.21936643470610637,0.13116511287968446,1.344648665473061,0.0,-0.003887660397189352,1.7765608089415
44,-0.0786004549319621,0.1231824290891943,1.033301665070556,0.2294154003321569,8.153398509267785,7.2,0.2017722779969766,14.2669562232608,5.10917640048489,13.69600888839101,251.30910624743902,0.22864407398919284,0.21740774409283659,0.1642226336296635,1.8514122522437102,0.0,0.004399834310984341,1.7451464703003379
45,-0.09188047690784629,0.1691249205442631,0.6984586930749649,0.513354313641137,8.112730547842137,7.2,0.26129786782629694,14.323183489908061,4.995825021186647,13.638280961020202,260.1878879055341,0.22436076045844527,0.2171526622339058,0.15903904441316952,1.9633092750761403,0.0,0.004496570958788304,1.7661052831585957
46,-0.011361519253455299,0.20287901524477192,0.7021508181202114,0.47575000796319883,8.098005477263431,7.2,0.21701669660956213,14.345271514799512,4.850208682437213,13.538557507717691,261.5469478051682,0.21708579402108233,0.2179912819087878,0.15494362103458714,1.913358823134656,0.0,0.0028446023806696363,1.790286218015059
47,-0.07162219884440546,0.15095120261022643,0.7972563761665805,0.6347617795983079,9.249032733208931,7.6,0.2303634851507006,16.50377475619614,6.532646067322764,15.829098726251981,276.3118595712241,0.19467544992463434,0.19345301887123348,0.17156957215104818,2.698505437489688,0.0,0.010312905915736748,1.5651839346539276
48,-0.03895811715922548,0.20704854926514216,0.8441199155578856,0.5125059558060289,8.329988626970131,7.6,0.24878513173951688,14.895115764640355,5.777463014908167,14.192804252164885,264.17963012451054,0.2130002999220642,0.21630098513182444,0.15787574780679137,2.3197669497459277,0.0,0.008463321031184634,1.778555688833476
49,-0.025544765092046617,0.1709674280946345,0.8332161545436647,0.5020756277358956,8.319526886942574,7.6,0.20420054377185792,14.78853755147068,5.8090434395891,14.129680793530385,254.26505938454196,0.2112747128372768,0.21687123509185655,0.15334510108221622,2.2479255398177944,0.0,0.007666847496645035,1.7647505559535375
50,-0.05847769294828353,0.21844129035320137,1.3356287193608782,0.7655447895344889,8.851231091637432,8.0,0.2795782008425931,15.739332186188607,5.731767092370975,15.069887943312533,281.46555617749414,0.20634134951641117,0.20333741152529686,0.20958685864210924,2.3502537785557944,0.0,0.008333646618428503,1.6775123514857928
51,-0.06843224139381832,0.18935264794707862,0.6273983298293464,0.7027205747374119,8.826574800775076,8.0,0.2621046946625043,15.635395002121937,5.714319005695092,14.907933003428308,284.22303510085766,0.1989544196360182,0.2031947726830883,0.14820853860747185,2.21127002563383,0.0,0.005975281776618102,1.6622450742476755
52,-0.083120375421597,0.19073139521060511,0.9068970969623706,0.550553064329653,8.836957888785191,8.0,0.27737765247879764,15.567077835691101,5.184662477818468,14.878341402496146,280.60558809253445,0.19956733422727574,0.20234879571450468,0.16734065233149664,2.102536174629723,0.0,0.005116817014100938,1.6559842733075034
53,-0.05069058673944937,0.24441727906672028,0.5350528686140325,0.35512528748871414,9.373251427389299,8.4,0.3002779487552054,16.32495252073104,6.057446716772243,15.628336714848102,292.3250258858993,0.19850664694021475,0.18433524878242924,0.1022165000200248,1.9396550131776404,0.0,0.0023806715998231365,1.53234595094506
54,-0.06565410202355082,0.22016454917184092,1.2909321121910855,0.20688817201342424,9.34081438406796,8.4,0.2857928527144047,16.176438962513803,5.580740962154347,15.438188494108024,295.2349529679862,0.19388002458293407,0.18440335657131648,0.11706172393348746,1.6721574144903073,0.0,-0.0002623260339218447,1.5220727347935747
55,-0.09926387805230164,0.18256982876478745,0.8552099786163871,0.32871559265686795,9.425647911846099,8.4,0.2817950630130497,16.40930171047027,6.179232141392627,15.538941714290875,292.6518307994759,0.18677424498488818,0.18253673619991745,0.13378904905474753,1.891895504730181,0.0,-0.0009153540753725764,1.4903299407984296
56,-0.10826992053744533,0.13668742937619527,1.302528020943785,0.41984147637318686,9.409873912233346,8.4,0.24492321184726507,16.438707403261887,7.625738051355123,15.514306641264403,302.8896808373247,0.18630813030937102,0.18357753665937068,0.1658248423463533,1.936708692902661,0.0,-0.001043756884659297,1.4792535415953663
57,-0.023100547065336485,0.24093358933612663,1.6097260028035283,0.5331388946880616,9.686261814211983,8.8,0.3295461709524723,17.13916269066754,7.775724060882228,16.395702857210114,291.56501777687265,0.18138348632204293,0.17963578115973577,0.16242076426671792,2.575786352407846,0.0,0.0069905186006828934,1.4917541496769446
58,-0.027411720371148363,0.21812572013618592,1.0889514435340089,0.7356631790308615,9.824835836680757,8.8,0.32485334471058636,17.586953002570247,7.87108520421177,16.688300357564003,289.45601238303584,0.18041229510977067,0.17964873578579188,0.1775964480498402,2.93922063695676,0.0,0.008072738488052789,1.4819469757200978
59,-0.10790941412209065,0.19315761095258566,1.0199114168299046,0.8046777955190249,9.839021419870196,8.8,0.3232980728436985,17.842530096240093,8.335750578283456,16.81237730531523,289.82153611296445,0.18312290716226082,0.18123613463013513,0.1856238778630428,3.338718179119873,0.0,0.009858269994875934,1.4842432468530897
60,-0.011078460516856126,0.20087456450501762,0.9159434139725159,1.0551498097006364,10.215542336364031,9.2,0.28351686748330707,18.809747951842088,8.522335674124609,17.630623562443283,318.7259628954841,0.1793316064832348,0.17487710211827046,0.22137043007519352,3.7384929901682433,0.0,0.012491023963787429,1.435369879569994
61,-0.04402853361175474,0.2303124279167612,1.2952850337351267,1.0004803281621524,10.259799920440491,9.2,0.33827926523287033,18.954797385112233,8.256952783122227,17.740464070259257,319.4813709855222,0.18099476720761545,0.17452483789721626,0.22796944757502802,3.8582263269695236,0.0,0.013042401466081488,1.4448098128041293
62,-0.06357278317968351,0.265425474934041,1.2860710601958754,0.8960312181513358,10.258240523855186,9.2,0.37534616744805405,19.05659424754331,8.481398837303495,17.81815812863468,301.0237322458275,0.1841521396206899,0.17477301752657573,0.2181208794345797,3.9801508463697832,0.0,0.01455152407079896,1.461874776145145
63,-0.0036663848441769176,0.2526151307867259,1.2158466658672964,1.0637493625407044,10.911052338852791,9.6,0.36015057834207553,20.18556866717828,8.063620542444262,18.92342379314251,344.04816971053845,0.18291312572244756,0.16368468297546693,0.2519915864922675,3.8772306654234754,0.0,0.014021288141029986,1.3639648004050053
64,0.004202977653196882,0.32256044347178303,1.5467964931791451,0.9398254766847806,10.971562005454265,9.6,0.4058989103209889,20.41370330106483,8.370025670323555,19.0839008384493,345.31429325098213,0.18749617093635923,0.16347489096570275,0.23776644734648267,4.0875857363592125,0.0,0.014850190367132754,1.390851459392933
65,0.001961672722067931,0.3819510183333321,1.4412650975354646,0.8625121762929342,10.974824667417785,9.6,0.429633452772201,20.29846592342072,8.236202943509928,19.131766585739754,325.189873530672,0.18791363284623494,0.16293585734624916,0.22814309575124403,3.9685320263008244,0.0,0.015768533109874694,1.4114580740218532
66,-0.01965017726905316,0.26944186277019355,1.5403740222816247,8.470949262956939,10.855325408806424,10.0,0.41593886363185106,20.90917254730032,9.850436575600225,18.7134476878068,326.35675892524034,0.17349082686999348,0.16249470562199575,0.45514410389867677,4.592963062105117,0.027965077631780827,0.012264772765369969,1.3607886418212432
67,-0.09492235884290068,0.2436543925342427,1.705867816868316,0.9211735977289109,11.08402578081266,10.0,0.40676472744535275,20.685971826809933,9.374817618291365,19.43150360885029,318.6597215217174,0.1761357053017742,0.1596644455082783,0.2478049095250543,4.479381606195798,0.0,0.017282931634215126,1.3269647220859098
68,-0.0621117497569017,0.2824646288041244,1.3868894499664077,1.0755755022126898,11.16291197179434,10.0,0.38987745362730664,20.999769742779527,9.597461634116476,19.66839531212731,331.420751003331,0.18056846885666503,0.15830104052687902,0.2521148977186547,4.691815094454181,0.0,0.018682605926697127,1.330795957081359
69,0.3163300758270715,0.6815041111625639,1.544510287935367,7.896547144519438,10.824917534957688,10.0,0.9459628369569586,21.268058900852026,11.74034154948813,19.08998625692488,302.1776636566017,0.18050139572703813,0.15256529394957183,0.3727170252213168,5.81041243625717,0.025091867786176197,0.018962105074157964,1.4549871832242602
70,0.41374818377014577,0.78607579597438,1.9800218717562261,6.550084817127074,11.239385048853547,10.4,1.0567314920301918,22.06724053736092,12.51859637380396,19.850540488560565,326.12037600549644,0.1766646555631582,0.14573320057080136,0.44068970649630956,6.239268432703893,0.02364372137798182,0.019285249454244147,1.4405782465751593
71,0.363428841444275,0.8278714744919142,2.0348875362679926,9.339062714964953,11.334688952883841,10.4,1.1574471153684769,22.160202562496316,12.709658068468748,19.780161389754834,328.0594677720787,0.1726356194651521,0.1450713264881944,0.4688209482912409,6.322038116417724,0.024043496421335325,0.015824421935791477,1.4552736403602948
72,0.08521437086466932,0.34861732603228646,1.4356008032134595,5.781720006298819,11.368517665737727,10.4,0.5374054898978429,22.106782694569663,10.129429033325726,19.94962783973275,334.6700391326656,0.17271285276316733,0.15604049637730077,0.5688056142196773,5.023082563335894,0.025077840417520536,0.017504981510174877,1.338077674931357
